ticker,harga,take_profit,stop_loss,aksi,prob_high,prob_low,prob_success,profit_potential_pct
BBKP.JK,67.0,69.0,67.0,beli,0.72,0.77,0.75,2.98
BKSW.JK,60.0,62.0,58.0,beli,0.74,0.8,0.77,3.33
BMTR.JK,140.0,143.03,139.0,beli,0.79,0.9,0.84,2.16
BRMS.JK,378.0,386.04,378.0,beli,0.94,0.9,0.92,2.13
BRPT.JK,820.0,839.98,815.03,beli,0.9,0.91,0.9,2.44
BUVA.JK,65.0,67.0,65.0,beli,0.79,0.77,0.78,3.08
CMNP.JK,1405.0,1470.08,1395.01,beli,0.79,0.83,0.81,4.63
COCO.JK,70.0,72.0,69.0,beli,0.75,0.88,0.81,2.86
DNAR.JK,112.0,115.0,111.0,beli,0.85,0.9,0.88,2.68
DSSA.JK,49325.0,51346.74,48992.67,beli,0.95,0.96,0.95,4.1
ECII.JK,194.0,199.0,193.0,beli,0.93,0.93,0.93,2.58
ELSA.JK,466.0,486.0,462.0,beli,0.86,0.85,0.86,4.29
ERAA.JK,535.0,551.65,503.02,beli,0.89,0.91,0.9,3.11
ESSA.JK,560.0,615.0,540.01,beli,0.89,0.9,0.9,9.82
FITT.JK,156.0,192.0,150.0,beli,0.67,0.71,0.69,23.08
FMII.JK,428.0,446.55,400.0,beli,0.84,0.85,0.84,4.33
FORU.JK,1640.0,1712.26,1631.35,beli,0.89,0.87,0.88,4.41
GZCO.JK,95.0,97.0,95.0,beli,0.83,0.85,0.84,2.11
HITS.JK,236.0,245.57,164.07,beli,0.83,0.89,0.86,4.06
HOKI.JK,94.0,96.0,92.0,beli,0.83,0.9,0.87,2.13
INDY.JK,1415.0,1450.8,1410.0,beli,0.96,0.91,0.93,2.53
ISAT.JK,1820.0,1880.01,1789.95,beli,0.91,0.94,0.93,3.3
JKON.JK,73.0,75.0,73.0,beli,0.81,0.83,0.82,2.74
LEAD.JK,84.0,87.0,82.01,beli,0.79,0.91,0.85,3.57
MAPA.JK,725.0,740.79,715.37,beli,0.85,0.88,0.86,2.18
MITI.JK,160.0,165.97,158.09,beli,0.81,0.9,0.85,3.73
OKAS.JK,120.0,124.0,118.0,beli,0.82,0.89,0.85,3.33
PNBN.JK,1310.0,1464.98,1270.05,beli,0.95,0.91,0.93,11.83
RAJA.JK,2110.0,2189.97,2109.95,beli,0.95,0.92,0.94,3.79
SMBR.JK,242.0,252.0,240.0,beli,0.86,0.88,0.87,4.13
SMGR.JK,2410.0,2510.16,2400.18,beli,0.9,0.95,0.92,4.16
SRTG.JK,1575.0,1645.14,1574.98,beli,0.92,0.9,0.91,4.45
TPIA.JK,8525.0,8849.78,8399.61,beli,0.95,0.94,0.94,3.81
