2025-05-01 09:49:55.263720: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:32] Could not find cuda drivers on your machine, GPU will not be used.
2025-05-01 09:49:55.266822: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:32] Could not find cuda drivers on your machine, GPU will not be used.
2025-05-01 09:49:55.275324: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:467] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1746092995.289237    2126 cuda_dnn.cc:8579] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1746092995.293337    2126 cuda_blas.cc:1407] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
W0000 00:00:1746092995.304727    2126 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1746092995.304741    2126 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1746092995.304744    2126 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1746092995.304746    2126 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
2025-05-01 09:49:55.308229: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2025-05-01 09:49:59,138 - ERROR - Error mengambil data AALI.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:49:59,138 - ERROR - AALI.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:49:59,140 - ERROR - Error mengambil data ACES.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:49:59,140 - ERROR - Error mengambil data ABMM.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:49:59,140 - ERROR - ACES.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:49:59,141 - ERROR - Error mengambil data ABBA.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:49:59,141 - ERROR - ABMM.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:49:59,142 - ERROR - ABBA.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:49:59,720 - ERROR - Error mengambil data ACST.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:49:59,720 - ERROR - ACST.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:49:59,721 - ERROR - Error mengambil data ADHI.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:49:59,722 - ERROR - ADHI.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:49:59,722 - ERROR - Error mengambil data ADMF.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:49:59,723 - ERROR - ADMF.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:49:59,724 - ERROR - Error mengambil data ADMG.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:49:59,724 - ERROR - ADMG.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:00,213 - ERROR - Error mengambil data ADRO.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:00,214 - ERROR - ADRO.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:00,215 - ERROR - Error mengambil data AKRA.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:00,215 - ERROR - AKRA.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:00,217 - ERROR - Error mengambil data AGII.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:00,217 - ERROR - AGII.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:00,263 - ERROR - Error mengambil data AGRO.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:00,263 - ERROR - AGRO.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:00,854 - ERROR - Error mengambil data AKSI.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:00,855 - ERROR - AKSI.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:00,856 - ERROR - Error mengambil data ALKA.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:00,856 - ERROR - ALKA.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:00,858 - ERROR - Error mengambil data ALDO.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:00,858 - ERROR - ALDO.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:01,410 - ERROR - Error mengambil data ALMI.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:01,410 - ERROR - ALMI.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:01,415 - ERROR - Error mengambil data AMRT.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:01,415 - ERROR - AMRT.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:01,461 - ERROR - Error mengambil data AMAG.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:01,461 - ERROR - AMAG.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:01,932 - ERROR - Error mengambil data ANDI.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:01,932 - ERROR - ANDI.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:01,933 - ERROR - Error mengambil data ANJT.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:01,933 - ERROR - ANJT.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:02,382 - ERROR - Error mengambil data ANTM.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:02,382 - ERROR - ANTM.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:02,386 - ERROR - Error mengambil data APIC.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:02,386 - ERROR - APIC.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:02,893 - ERROR - Error mengambil data ARNA.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:02,894 - ERROR - Error mengambil data APLN.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:02,894 - ERROR - ARNA.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:02,894 - ERROR - APLN.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:02,898 - ERROR - Error mengambil data ARTA.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:02,898 - ERROR - ARTA.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:03,485 - ERROR - Error mengambil data ASII.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:03,485 - ERROR - ASII.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:03,488 - ERROR - Error mengambil data ASJT.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:03,488 - ERROR - Error mengambil data ASRI.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:03,488 - ERROR - ASJT.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:03,489 - ERROR - ASRI.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:04,120 - ERROR - Error mengambil data ASSA.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:04,121 - ERROR - ASSA.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:04,124 - ERROR - Error mengambil data ATIC.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:04,124 - ERROR - ATIC.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:04,740 - ERROR - Error mengambil data AUTO.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:04,740 - ERROR - AUTO.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:04,742 - ERROR - Error mengambil data BABP.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:04,742 - ERROR - BABP.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:04,747 - ERROR - Error mengambil data BACA.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:04,747 - ERROR - BACA.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:05,196 - ERROR - Error mengambil data BAEK.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:05,196 - ERROR - BAEK.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:05,202 - ERROR - Error mengambil data BALI.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:05,202 - ERROR - BALI.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:05,205 - ERROR - Error mengambil data BAPA.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:05,206 - ERROR - BAPA.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:05,808 - ERROR - Error mengambil data BAPI.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:05,808 - ERROR - BAPI.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:05,810 - ERROR - Error mengambil data BATA.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:05,810 - ERROR - BATA.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:06,274 - ERROR - Error mengambil data BBHI.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:06,275 - ERROR - BBHI.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:06,275 - ERROR - Error mengambil data BBCA.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:06,275 - ERROR - BBCA.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:06,278 - ERROR - Error mengambil data BBKP.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:06,278 - ERROR - BBKP.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:06,280 - ERROR - Error mengambil data BBNI.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:06,280 - ERROR - BBNI.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:06,870 - ERROR - Error mengambil data BBRI.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:06,870 - ERROR - BBRI.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:06,871 - ERROR - Error mengambil data BIPP.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:06,871 - ERROR - BIPP.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:06,876 - ERROR - Error mengambil data BINA.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:06,876 - ERROR - BINA.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:06,920 - ERROR - Error mengambil data BBTN.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:06,920 - ERROR - BBTN.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:07,346 - ERROR - Error mengambil data BJBR.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:07,346 - ERROR - BJBR.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:07,346 - ERROR - Error mengambil data BISI.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:07,348 - ERROR - Error mengambil data BJTM.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:07,349 - ERROR - BISI.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:07,350 - ERROR - BJTM.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:07,858 - ERROR - Error mengambil data BKDP.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:07,858 - ERROR - BKDP.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:07,862 - ERROR - Error mengambil data BKSL.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:07,863 - ERROR - BKSL.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:08,369 - ERROR - Error mengambil data BKSW.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:08,369 - ERROR - BKSW.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:08,372 - ERROR - Error mengambil data BLTZ.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:08,373 - ERROR - BLTZ.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:08,375 - ERROR - Error mengambil data BLTA.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:08,375 - ERROR - BLTA.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:08,859 - ERROR - Error mengambil data BLUE.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:08,859 - ERROR - BLUE.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:08,865 - ERROR - Error mengambil data BMAS.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:08,865 - ERROR - BMAS.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:09,381 - ERROR - Error mengambil data BMRI.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:09,381 - ERROR - BMRI.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:09,383 - ERROR - Error mengambil data BMSR.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:09,384 - ERROR - BMSR.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:09,836 - ERROR - Error mengambil data BMTR.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:09,837 - ERROR - BMTR.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:09,839 - ERROR - Error mengambil data BNBA.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:09,840 - ERROR - BNBA.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:09,841 - ERROR - Error mengambil data BNGA.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:09,841 - ERROR - BNGA.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:10,304 - ERROR - Error mengambil data BNII.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:10,304 - ERROR - BNII.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:10,305 - ERROR - Error mengambil data BNLI.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:10,305 - ERROR - BNLI.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:10,795 - ERROR - Error mengambil data BOBA.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:10,795 - ERROR - BOBA.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:10,797 - ERROR - Error mengambil data BOGA.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:10,797 - ERROR - BOGA.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:11,266 - ERROR - Error mengambil data BOLT.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:11,266 - ERROR - BOLT.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:11,268 - ERROR - Error mengambil data BPFI.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:11,268 - ERROR - BPFI.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:11,270 - ERROR - Error mengambil data BPII.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:11,270 - ERROR - BPII.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:11,270 - ERROR - Error mengambil data BOSS.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:11,271 - ERROR - BOSS.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:11,827 - ERROR - Error mengambil data BPTR.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:11,828 - ERROR - BPTR.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:11,829 - ERROR - Error mengambil data BRIS.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:11,829 - ERROR - Error mengambil data BRAM.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:11,829 - ERROR - BRIS.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:11,829 - ERROR - BRAM.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:11,834 - ERROR - Error mengambil data BRMS.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:11,834 - ERROR - BRMS.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:12,324 - ERROR - Error mengambil data BRPT.JK: Too Many Requests. Rate limited. Try after a while.
